timestamp,title,app,url,goal,mode,similarity,heuristic,confidence,label
2026-03-24T22:57:54.766188,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:54.987477,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:57:55.805648,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","learning python",deep,0.056,0,50.0,WARNING
2026-03-24T22:57:56.022238,"Personal Projects - FocusLock AI Prompt Design - Google Chrome","chrome.exe","","learning python",deep,0.056,0,50.0,WARNING
2026-03-24T22:57:59.846102,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:58:00.053459,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:58:05.090318,"Graph Representation in Java - Tutorial - Google Chrome","chrome.exe","","learning python",deep,0.103,10,60.0,WARNING
2026-03-24T22:58:05.879389,"Graph Representation in Java - Tutorial - Google Chrome","chrome.exe","","learning python",deep,0.103,10,60.0,WARNING
2026-03-24T22:58:06.909415,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:58:07.122270,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:58:09.153817,"Graph Representation in Java - Tutorial - Google Chrome","chrome.exe","","learning python",deep,0.103,10,60.0,WARNING
2026-03-24T22:58:11.183091,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:58:11.963047,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:58:43.241866,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,WARNING
2026-03-24T22:58:44.017613,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,WARNING
2026-03-24T22:58:58.059137,"Graph Representation in Java - Tutorial - Google Chrome","chrome.exe","","learning python",deep,0.103,10,60.0,WARNING
2026-03-24T22:58:58.296946,"Graph Representation in Java - Tutorial - Google Chrome","chrome.exe","","learning python",deep,0.103,10,60.0,WARNING
2026-03-24T22:59:00.101321,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:59:00.334695,"FocusLock | Cognitive Engine - Google Chrome","chrome.exe","","learning python",deep,0.033,0,50.0,WARNING
2026-03-24T22:59:01.140258,"Mr-NN-2k3/FocusLock - Google Chrome","chrome.exe","","learning python",deep,0.005,0,50.0,WARNING
2026-03-24T22:59:02.182723,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,WARNING
2026-03-24T22:59:02.382049,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,WARNING
2026-03-24T22:59:43.233610,"FocusLock - Antigravity - Implementation Plan","Antigravity.exe","","learning python",deep,0.005,0,50.0,WARNING
2026-03-24T22:59:43.435724,"FocusLock - Antigravity - Implementation Plan","Antigravity.exe","","learning python",deep,0.005,0,50.0,PRODUCTIVE
2026-03-24T22:59:44.271666,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,WARNING
2026-03-24T22:59:44.469194,"FocusLock - Antigravity - verify.py","Antigravity.exe","","learning python",deep,0.208,0,50.0,PRODUCTIVE
2026-03-24T22:59:45.309120,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:59:45.517004,"FocusLock - Antigravity - README.md","Antigravity.exe","","learning python",deep,0.045,0,50.0,WARNING
2026-03-24T22:59:46.351552,"FocusLock - Antigravity - index.html","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:59:46.550373,"FocusLock - Antigravity - engine.py","Antigravity.exe","","learning python",deep,0.189,0,50.0,WARNING
2026-03-24T22:59:47.400029,"FocusLock - Antigravity - engine.py","Antigravity.exe","","learning python",deep,0.189,0,50.0,WARNING
2026-03-24T22:59:51.433777,"FocusLock - Antigravity - Redesign Summary","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:59:51.584609,"FocusLock - Antigravity - Redesign Summary","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:59:53.465583,"FocusLock - Antigravity - engine.py","Antigravity.exe","","learning python",deep,0.189,0,50.0,WARNING
2026-03-24T22:59:53.636730,"FocusLock - Antigravity - engine.py","Antigravity.exe","","learning python",deep,0.189,0,50.0,WARNING
2026-03-24T22:59:54.503984,"FocusLock - Antigravity - logger.py","Antigravity.exe","","learning python",deep,0.172,0,50.0,WARNING
2026-03-24T22:59:54.688642,"FocusLock - Antigravity - .gitignore","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:59:55.541419,"FocusLock - Antigravity - store.py","Antigravity.exe","","learning python",deep,0.175,0,50.0,WARNING
2026-03-24T22:59:55.734496,"FocusLock - Antigravity - setup_session.dart","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T22:59:56.576342,"FocusLock - Antigravity - analytics.html","Antigravity.exe","","learning python",deep,0.053,0,50.0,WARNING
2026-03-24T22:59:56.778933,"FocusLock - Antigravity - analytics.html","Antigravity.exe","","learning python",deep,0.053,0,50.0,WARNING
2026-03-24T22:59:57.604035,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T22:59:57.814324,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T23:00:04.642412,"FocusLock - Antigravity - COMMIT_EDITMSG","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T23:00:04.851648,"FocusLock - Antigravity - COMMIT_EDITMSG","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
2026-03-24T23:00:07.675436,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T23:00:07.885619,"FocusLock - Antigravity","Antigravity.exe","","learning python",deep,0.002,0,50.0,WARNING
2026-03-24T23:00:11.706699,"FocusLock - Antigravity - COMMIT_EDITMSG","Antigravity.exe","","learning python",deep,0,0,50.0,WARNING
